"","close","adjOpen","adjClose","avg_price7","change"
"678",167.78,161.4327108,162.0266218,163.753860914286,"Increase"
"679",160.5,160.3076601,154.9962617,161.861071671429,"Increase"
"680",156.49,153.6442694,151.1237695,159.844119885714,"Increase"
"681",163.03,149.5206929,157.439505,158.674232657143,"Increase"
"682",159.54,157.492619,154.0691813,157.512622942857,"Increase"
"683",155.15,154.7934629,149.8297197,155.881954671429,"Increase"
"684",156.41,152.2948443,151.6549093,154.4485669,"Increase"
"685",162.71,153.6813703,157.7633802,153.839532385714,"Decrease"
"686",164.34,157.0264853,159.3438258,154.460612971429,"Decrease"
"687",167.37,158.0881957,162.2817094,156.054604385714,"Decrease"
"688",172.99,164.6281379,167.7308533,157.524797,"Decrease"
"689",172.43,167.1200062,167.1878781,159.398896542857,"Decrease"
"690",171.85,166.8194306,166.6255109,161.798295285714,"Decrease"
"691",171.07,167.5757175,165.869224,163.828911671429,"Decrease"
"692",172.5,166.577031,167.25575,165.1849645,"Decrease"
"693",175.5,168.3901803,170.1645456,166.730781614286,"Decrease"
"694",178.97,170.9887044,173.5290526,168.337544928571,"Decrease"
"695",178.39,173.6551004,172.9666854,169.085520942857,"Decrease"
"696",178.12,173.8102362,172.7048938,169.873666042857,"Decrease"
"697",175,173.1121252,169.6797463,170.309985385714,"Increase"
"698",176.21,167.5466295,170.8529606,171.021947757143,"Increase"
"699",176.82,169.883362,171.4444157,171.620328571429,"Increase"
"700",176.67,172.5012781,171.2989759,171.782390042857,"Increase"
"701",175.03,169.6215704,169.7088343,171.236644571429,"Increase"
"702",176.94,170.1451537,171.5607675,171.035799157143,"Decrease"
"703",179.98,172.5497581,174.5083471,171.293435342857,"Decrease"
"704",181.72,174.8089227,176.1954486,172.224249957143,"Decrease"
"705",179.97,177.0389993,174.4986511,172.745062885714,"Decrease"
"706",178.44,174.8380106,173.0151654,172.9694557,"Decrease"
"707",178.65,173.0733413,173.2187811,173.243713585714,"Increase"
"708",178.02,173.2187811,172.607934,173.657870685714,"Increase"
"709",175.3,171.929215,169.9706259,173.4307076,"Increase"
"710",175.24,169.91245,169.91245,172.774150871429,"Increase"
"711",171.27,169.7185303,166.0631438,171.326678757143,"Increase"
"712",168.85,164.8317536,163.7167153,169.786402214286,"Increase"
"713",164.94,163.2706999,159.9255849,167.916462142857,"Increase"
"714",172.77,162.9604284,167.5175416,167.101999357143,"Decrease"
"715",168.34,168.3998763,163.22222,165.761183071429,"Increase"
"716",166.48,162.1653576,161.4187667,164.5394889,"Increase"
"717",167.78,162.7034848,162.6792448,163.506173871429,"Increase"
"718",166.68,162.7762047,161.6126864,162.870394242857,"Increase"
"719",168.39,162.543501,163.2706999,162.806677757143,"Decrease"
"720",171.61,159.867409,166.3928073,163.730566671429,"Decrease"
"721",172.8,167.3333179,167.5466295,163.734722085714,"Decrease"
"722",168.38,165.7722642,163.2610039,163.740262642857,"Increase"
"723",170.05,164.7154018,164.8802335,164.2347579,"Decrease"
"724",173.25,167.7405492,167.9829489,164.992429914286,"Decrease"
"725",172.44,166.9939584,167.1975741,165.790271014286,"Decrease"
"726",174.14,168.1380847,168.8458916,166.586726971429,"Decrease"
"727",174.73,169.4664347,169.4179547,167.018890885714,"Decrease"
"728",175.82,169.7089313,170.4748172,167.437203414286,"Decrease"
"729",178.24,171.1244482,172.8212456,168.802952228571,"Decrease"
"730",177.84,172.4043183,172.4334062,169.8819769,"Decrease"
"731",172.8,169.6312664,167.5466295,169.819645557143,"Increase"
"732",165.72,165.4086647,160.6818718,168.888830942857,"Increase"
"733",165.24,161.7627803,160.2164645,167.656055642857,"Increase"
"734",162.94,160.6333919,157.9863878,166.022974657143,"Increase"
"735",163.65,157.6761163,158.6748028,164.337258314286,"Increase"
"736",164.22,159.1305141,159.227474,162.395290942857,"Increase"
"737",162.32,159.0141623,157.3852367,160.245552442857,"Increase"
"738",165.26,157.2012069,160.2358565,159.2011563,"Decrease"
"739",169.1,161.3510887,163.9591149,159.669333885714,"Decrease"
"740",176.57,169.897906,171.2020161,161.2386984,"Decrease"
"741",176.89,170.5329931,171.5122876,163.1709698,"Decrease"
"742",183.83,172.8309416,178.2413015,165.9661839,"Decrease"
"743",185.16,179.5502596,179.5308676,168.8666687,"Decrease"
"744",186.05,179.3660359,180.3938103,172.153607785714,"Decrease"
"745",187.36,180.8786096,181.6639844,175.214768914286,"Decrease"
"746",190.04,182.0324319,184.2625085,178.115253714286,"Decrease"
"747",188.59,184.4404141,183.5643976,179.881308214286,"Decrease"
"748",188.15,183.9732053,183.1361228,181.5418561,"Decrease"
"749",186.44,181.802631,181.4716914,182.003340371429,"Increase"
"750",188.18,181.1115513,183.1653234,182.522548342857,"Decrease"
"751",186.99,182.9901201,182.0070349,182.753009,"Increase"
"752",186.31,182.2017052,181.3451557,182.707462042857,"Increase"
"753",187.63,182.9901201,182.62998,182.474243685714,"Decrease"
"754",187.16,183.355127,182.1725047,182.275401842857,"Increase"
"755",188.36,181.3840898,183.3405267,182.3046024,"Decrease"
"756",188.15,183.7396009,183.1361228,182.542378314286,"Decrease"
"757",188.58,183.213991,183.5546641,182.597998414286,"Decrease"
"758",187.9,182.6007794,182.8927849,182.724534128571,"Decrease"
"759",187.5,182.7175816,182.5034442,182.890003914286,"Increase"
"760",186.87,182.2309058,181.8902327,182.784325728571,"Increase"
"761",190.24,182.9815546,185.1704279,183.212600471429,"Decrease"
"762",191.83,186.5282535,186.7180571,183.695104814286,"Decrease"
"763",193.31,187.9201465,188.1586176,184.412604071429,"Decrease"
"764",193.98,188.4700902,188.8107633,185.163475385714,"Decrease"
"765",193.46,188.9664995,188.3046204,185.936594742857,"Decrease"
"766",191.7,186.075645,186.5915214,186.520605771429,"Decrease"
"767",191.23,186.2508483,186.1340461,187.126864828571,"Increase"
"768",192.28,186.2849156,187.1560654,187.410527328571,"Increase"
"769",190.7,187.2923346,185.6181697,187.253400557143,"Increase"
"770",190.8,186.4455186,185.7155049,186.904384457143,"Increase"
"771",188.84,184.966024,183.8077355,186.1896662,"Increase"
"772",188.74,182.8733179,183.7104003,185.533349042857,"Increase"
"773",185.69,180.2063342,180.7416777,184.697657085714,"Increase"
"774",186.5,181.3840898,181.5300925,184.039949428571,"Increase"
"775",185.46,182.2601063,180.5178068,183.091626771429,"Increase"
"776",184.92,181.1602189,179.9921968,182.287916357143,"Increase"
"777",182.17,178.5127023,177.3154797,181.087912757143,"Increase"
"778",184.43,178.1136281,179.5152545,180.474701185714,"Increase"
"779",184.16,180.2917945,179.2524495,179.837851071429,"Increase"
"780",185.5,179.1940484,180.5567408,179.811431514286,"Decrease"
"781",185.11,181.3256887,180.1771337,179.618151685714,"Decrease"
"782",187.18,178.92151,182.1919717,179.8573181,"Decrease"
"783",183.92,182.7857162,179.0188451,179.718267857143,"Increase"
"784",185.4,180.3231364,180.4594057,180.167400142857,"Decrease"
"785",187.97,180.4788727,182.9609195,180.659638,"Decrease"
"786",190.58,184.4501476,185.5013675,181.552340571429,"Decrease"
"787",190.35,185.6279032,185.2774966,182.226734257143,"Decrease"
"788",187.88,183.4767959,182.8733179,182.611903428571,"Decrease"
"789",191.03,184.4793482,185.9393757,183.147246857143,"Decrease"
"790",191.33,185.9880433,186.2313813,184.177609171429,"Decrease"
"791",190.91,186.4163181,185.8225735,184.943776,"Decrease"
"792",191.45,184.6934856,186.3481835,185.427670857143,"Decrease"
"793",190.4,186.6693895,185.3261642,185.402641814286,"Increase"
"794",191.88,184.6350845,186.7667247,185.615388685714,"Decrease"
"795",191.44,186.6693895,186.3384499,186.110407542857,"Decrease"
"796",191.61,185.5987026,186.5039197,186.191056685714,"Decrease"
"797",193,187.3215352,187.8568786,186.423270585714,"Decrease"
"798",194.82,187.9154744,189.6283787,186.966957042857,"Decrease"
"799",194.21,189.4239748,189.0346342,187.350735714286,"Decrease"
"800",190.98,189.7938485,185.8907082,187.431384857143,"Increase"
"801",189.91,186.7861917,184.8492218,187.157455871429,"Increase"
"802",190.29,185.228829,185.2190955,186.9975481,"Increase"
"803",201.5,193.8235245,196.1303681,188.372755014286,"Decrease"
"804",207.39,195.2348845,201.8634096,190.373688014286,"Decrease"
"805",207.99,201.513003,202.4474206,192.204979714286,"Decrease"
"806",209.07,202.4571541,203.4986405,194.271266328571,"Decrease"
"807",207.11,203.7419784,201.5908711,196.514146742857,"Decrease"
"808",207.25,200.5591183,201.7271404,198.925277971429,"Decrease"
"809",208.88,201.7563409,203.3137036,201.510221985714,"Decrease"
"810",207.53,202.5441737,202.7102256,202.450201628571,"Decrease"
"811",208.87,202.8762774,204.0191048,202.758158085714,"Decrease"
"812",209.75,205.2742613,204.8786673,203.105479042857,"Decrease"
"813",210.24,204.3609762,205.3572873,203.371000014286,"Decrease"
"814",213.32,206.8322183,208.3657559,204.3388407,"Decrease"
"815",217.58,208.482969,212.5268196,205.881652014286,"Decrease"
"816",215.46,213.0347429,210.4560555,206.901988,"Decrease"
"817",215.04,211.7649347,210.0458098,207.9499286,"Decrease"
"818",215.05,209.1276408,210.0555776,208.812281857143,"Decrease"
"819",215.49,209.6648673,210.4853588,209.613237785714,"Decrease"
"820",216.16,211.5695796,211.1397984,210.4393108,"Decrease"
